Name,Team,Position,Height(inches),Weight(lbs),Age
A.J. Burnett,TOR,Starting Pitcher,76,230,30.15
A.J. Murray,TEX,Starting Pitcher,75,200,24.96
A.J. Pierzynski,CWS,Catcher,75,245,30.17
Aaron Boone,FLA,Third Baseman,74,200,33.98
Aaron Cook,COL,Starting Pitcher,75,205,28.06
Aaron Fultz,CLE,Relief Pitcher,72,205,33.49
Aaron Harang,CIN,Starting Pitcher,79,240,28.81
Aaron Heilman,NYM,Relief Pitcher,77,220,28.3
Aaron Hill,TOR,Second Baseman,71,195,24.94
Aaron Miles,STL,Second Baseman,67,180,30.21
Aaron Rowand,PHI,Outfielder,72,205,29.5
Abraham Nunez,PHI,Third Baseman,71,190,30.96
Adam Donachie,BAL,Catcher,74,180,22.99
Adam Dunn,CIN,Outfielder,78,240,27.31
Adam Eaton,PHI,Starting Pitcher,74,196,29.27
Adam Everett,HOU,Shortstop,72,170,30.06
Adam Jones,SEA,Outfielder,74,200,21.58
Adam Kennedy,STL,Second Baseman,73,185,31.14
Adam LaRoche,PIT,First Baseman,75,180,27.32
Adam Lind,TOR,Designated Hitter,74,195,23.62
Adam Loewen,BAL,Starting Pitcher,78,219,22.89
Adam Melhuse,OAK,Catcher,74,200,34.93
Adam Stern,BAL,Outfielder,71,180,27.05
Adam Wainwright,STL,Starting Pitcher,79,205,25.5
Adrian Beltre,SEA,Third Baseman,71,220,27.9
Adrian Gonzalez,SD,First Baseman,74,220,24.81
Akinori Otsuka,TEX,Relief Pitcher,72,200,35.13
Alan Embree,OAK,Relief Pitcher,74,190,37.1
Alay Soler,NYM,Starting Pitcher,73,240,27.39
Albert Pujols,STL,First Baseman,75,225,27.12
Alberto Callaspo,ARZ,Shortstop,70,175,23.87
Alejandro Machado,MIN,Second Baseman,72,184,24.85
Alex Cintron,CWS,Shortstop,74,199,28.2
Alex Cora,BOS,Shortstop,72,180,31.37
Alex Escobar,WAS,Outfielder,73,190,28.48
Alex Gonzalez,CIN,Shortstop,72,202,30.04
Alex Rios,TOR,Outfielder,77,194,26.03
Alex Rodriguez,NYY,Third Baseman,75,210,31.59
Alexi Casilla,MIN,Second Baseman,69,160,22.61
Alfonso Soriano,CHC,Outfielder,73,180,31.15
Alfredo Amezaga,FLA,Outfielder,70,165,29.12
Alfredo Simon,PHI,Starting Pitcher,76,170,25.81
Alvin Colina,COL,Catcher,75,209,25.18
Ambiorix Burgos,NYM,Relief Pitcher,72,180,22.86
Anderson Garcia,PHI,Relief Pitcher,74,170,25.94
Anderson Hernandez,NYM,Second Baseman,69,168,24.33
Andre Ethier,LA,Outfielder,73,208,24.89
Andres Blanco,KC,Shortstop,70,155,22.89
Andrew Brown,SD,Relief Pitcher,78,230,26.03
Andrew Miller,DET,Relief Pitcher,78,210,21.78
Andrew Sisco,CWS,Relief Pitcher,81,260,24.13
Andruw Jones,ATL,Outfielder,73,210,29.85
Andy LaRoche,LA,Third Baseman,71,185,23.46
Andy Marte,CLE,Third Baseman,73,185,23.36
Andy Pettitte,NYY,Starting Pitcher,77,225,34.71
Andy Phillips,NYY,First Baseman,72,205,29.9
Angel Berroa,KC,Shortstop,72,175,29.09
Angel Guzman,CHC,Starting Pitcher,75,190,25.21
Angel Pagan,CHC,Outfielder,73,180,25.66
Angel Sanchez,KC,Second Baseman,74,185,23.44
Anibal Sanchez,FLA,Starting Pitcher,72,180,23.01
Anthony Reyes,STL,Starting Pitcher,74,215,25.37
Antonio Alfonseca,PHI,Relief Pitcher,77,250,34.87
Antonio Perez,OAK,Third Baseman,71,170,27.09
Aramis Ramirez,CHC,Third Baseman,73,215,28.68
Armando Benitez,SF,Relief Pitcher,76,229,34.32
Aubrey Huff,BAL,Third Baseman,76,231,30.19
Austin Kearns,WAS,Outfielder,75,220,26.78
B.J. Ryan,TOR,Relief Pitcher,78,249,31.17
B.J. Upton,TB,Third Baseman,75,180,22.52
Barry Bonds,SF,Outfielder,74,228,42.6
Barry Zito,SF,Starting Pitcher,76,215,28.8
Bartolo Colon,ANA,Starting Pitcher,71,250,33.77
Beltran Perez,WAS,Relief Pitcher,74,180,25.35
Ben Broussard,SEA,First Baseman,74,220,30.43
Ben Francisco,CLE,Outfielder,73,180,25.35
Ben Hendrickson,MLW,Starting Pitcher,76,190,26.07
Ben Johnson,NYM,Outfielder,73,200,25.7
Ben Sheets,MLW,Starting Pitcher,73,218,28.62
Ben Zobrist,TB,Shortstop,75,200,25.76
Bengie Molina,SF,Catcher,71,220,32.61
Bernie Castro,WAS,Second Baseman,70,160,27.63
Bill Bray,CIN,Relief Pitcher,75,215,23.74
Bill Hall,MLW,Shortstop,72,195,27.17
Billy Sadler,SF,Relief Pitcher,72,190,25.44
Billy Traber,WAS,Starting Pitcher,77,205,27.45
Billy Wagner,NYM,Relief Pitcher,71,195,35.6
Blaine Boyer,ATL,Relief Pitcher,75,190,25.64
Bob Howry,CHC,Relief Pitcher,77,220,33.57
Bob Wickman,ATL,Relief Pitcher,73,240,38.06
Bobby Abreu,NYY,Outfielder,72,211,32.97
Bobby Crosby,OAK,Shortstop,75,195,27.13
Bobby Jenks,CWS,Relief Pitcher,75,270,25.96
Bobby Kielty,OAK,Outfielder,73,225,30.57
Bobby Livingston,CIN,Relief Pitcher,75,190,24.49
Boof Bonser,MIN,Starting Pitcher,76,260,25.38
Boone Logan,CWS,Relief Pitcher,77,200,22.55
Brad Ausmus,HOU,Catcher,71,190,37.88
